DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Semana epidem. 1º Sintomas(s)
UF de residência: Paraná
Período:2024
"Município de residência";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Total"
"410754 ESPIGAO ALTO DO IGUACU";4;9;28;64;71;78;125;86;16;-;481
"410755 FAROL";4;1;3;11;1;12;24;29;34;11;130
"410760 FAXINAL";10;33;70;122;88;85;147;207;264;208;1234
"410765 FAZENDA RIO GRANDE";5;2;1;4;7;7;6;7;22;3;64
"410770 FENIX";4;2;1;2;2;5;6;22;9;4;57
"410773 FERNANDES PINHEIRO";-;-;-;-;-;-;-;-;1;-;1
"410775 FIGUEIRA";-;-;-;2;-;2;9;26;17;9;65
"410780 FLORAI";-;1;2;2;6;7;-;2;7;5;32
"410785 FLOR DA SERRA DO SUL";-;-;-;1;-;1;2;3;3;2;12
"410790 FLORESTA";31;40;50;74;53;79;75;79;72;21;574
"410800 FLORESTOPOLIS";3;1;-;4;5;1;15;5;15;21;70
"410810 FLORIDA";-;-;2;-;-;-;-;4;4;2;12
"410820 FORMOSA DO OESTE";-;-;2;-;4;9;19;24;28;18;104
"410830 FOZ DO IGUACU";109;123;136;234;245;299;405;832;731;530;3644
"410832 FRANCISCO ALVES";-;1;1;-;-;2;5;2;-;-;11
"410840 FRANCISCO BELTRAO";7;8;33;39;77;114;352;587;567;283;2067
"410845 FOZ DO JORDAO";-;-;1;1;-;-;1;1;1;-;5
"410850 GENERAL CARNEIRO";-;-;-;-;-;1;2;4;13;4;24
"410855 GODOY MOREIRA";1;3;9;13;12;32;28;20;3;-;121
"410860 GOIOERE";18;17;42;74;77;113;201;209;222;135;1108
"410865 GOIOXIM";-;-;1;-;-;-;-;-;1;-;2
"410870 GRANDES RIOS";2;1;2;1;5;4;13;22;15;17;82
"410880 GUAIRA";1;2;4;1;12;5;11;33;50;6;125
"410890 GUAIRACA";1;3;2;2;2;5;8;2;2;-;27
"410895 GUAMIRANGA";-;-;2;2;1;-;-;5;3;3;16
"410900 GUAPIRAMA";-;-;-;1;1;3;1;11;16;12;45
"410910 GUAPOREMA";2;3;7;7;9;12;6;5;12;4;67
"410920 GUARACI";-;-;-;-;-;-;-;2;12;8;22
"410930 GUARANIACU";3;3;7;3;5;17;23;48;35;4;148
"410940 GUARAPUAVA";4;5;4;6;8;18;39;68;137;42;331
"410950 GUARAQUECABA";-;-;-;-;-;3;1;-;2;1;7
"410960 GUARATUBA";8;8;12;49;140;150;207;136;70;34;814
"410965 HONORIO SERPA";-;-;-;-;-;-;1;-;1;-;2
"410970 IBAITI";13;39;92;100;77;105;149;142;127;41;885
"410975 IBEMA";-;-;-;1;5;2;17;35;20;36;116
"410980 IBIPORA";9;3;5;5;18;83;141;63;135;160;622
"410990 ICARAIMA";1;7;1;13;9;7;8;17;26;9;98
"411000 IGUARACU";-;1;1;1;3;4;6;9;3;4;32
"411005 IGUATU";-;-;-;-;2;-;1;7;6;8;24
"411007 IMBAU";-;-;-;1;1;-;2;5;17;3;29
"411010 IMBITUVA";-;-;-;2;3;5;5;8;20;7;50
"411020 INACIO MARTINS";-;-;-;1;-;-;-;1;-;1;3
"411030 INAJA";21;15;26;20;15;14;13;10;13;10;157
"411040 INDIANOPOLIS";-;-;-;-;1;-;1;1;3;4;10
"411050 IPIRANGA";1;1;1;-;1;2;2;4;2;1;15
"411060 IPORA";1;-;4;8;4;6;21;26;25;7;102
"411065 IRACEMA DO OESTE";3;-;4;-;2;2;2;8;8;2;31
"411070 IRATI";2;1;2;4;-;4;1;16;17;1;48
"411080 IRETAMA";2;4;5;32;43;10;37;51;129;192;505
"411090 ITAGUAJE";-;-;-;-;-;-;1;1;7;10;19
"411095 ITAIPULANDIA";3;-;2;5;4;3;28;22;50;78;195
"411100 ITAMBARACA";-;1;2;1;2;9;12;14;23;32;96
"411110 ITAMBE";64;64;51;31;38;49;33;26;36;20;412
"411120 ITAPEJARA D'OESTE";-;-;1;-;1;-;-;2;3;3;10
"411125 ITAPERUCU";-;-;-;-;-;2;2;-;1;-;5
"411130 ITAUNA DO SUL";-;-;-;-;-;-;-;2;9;1;12
"411140 IVAI";-;-;-;2;5;2;3;7;26;28;73
"411150 IVAIPORA";217;353;476;418;257;201;127;82;69;25;2225
"411155 IVATE";-;2;2;8;4;7;8;12;18;10;71
"411160 IVATUBA";-;-;1;-;1;7;6;19;14;8;56
"411170 JABOTI";-;-;2;2;4;11;11;19;50;28;127
"411180 JACAREZINHO";211;229;228;181;146;151;256;244;263;163;2072
"411190 JAGUAPITA";10;8;6;12;19;17;26;29;82;66;275
"411200 JAGUARIAIVA";-;-;2;2;1;2;7;12;16;6;48
"411210 JANDAIA DO SUL";110;125;206;163;205;184;96;149;131;42;1411
"411220 JANIOPOLIS";4;1;3;18;20;20;54;109;141;143;513
"411230 JAPIRA";-;-;-;-;-;-;4;7;7;4;22
"411240 JAPURA";1;6;-;8;4;9;10;25;15;1;79
"411250 JARDIM ALEGRE";7;22;30;53;56;48;103;77;52;6;454
"411260 JARDIM OLINDA";-;-;-;10;4;5;4;4;1;2;30
"411270 JATAIZINHO";9;11;6;5;7;4;23;45;55;54;219
"411275 JESUITAS";-;1;-;1;2;2;11;15;27;23;82
"411280 JOAQUIM TAVORA";4;-;1;2;4;17;10;31;51;31;151
"411290 JUNDIAI DO SUL";-;-;-;3;-;3;1;1;1;-;9
"411295 JURANDA";21;40;64;49;59;83;121;114;107;47;705
"411300 JUSSARA";5;5;11;13;37;58;68;92;108;52;449
"411310 KALORE";3;9;18;12;30;24;36;23;40;44;239
"411320 LAPA";-;-;-;-;2;-;1;3;4;1;11
"411325 LARANJAL";-;-;-;-;-;-;-;-;1;4;5
"411330 LARANJEIRAS DO SUL";4;2;1;8;4;9;27;26;21;21;123
"411340 LEOPOLIS";-;1;-;1;2;6;8;31;34;34;117
"411342 LIDIANOPOLIS";23;25;54;51;60;50;67;42;32;21;425
"411345 LINDOESTE";45;81;87;120;100;90;90;37;48;22;720
"411350 LOANDA";7;7;7;15;13;13;16;14;28;15;135
"411360 LOBATO";-;-;1;-;-;1;3;-;-;1;6
"411370 LONDRINA";421;566;715;911;1010;1525;1947;2345;2547;2099;14086
"411373 LUIZIANA";185;212;281;207;148;158;138;84;82;12;1507
"411375 LUNARDELLI";31;65;53;42;48;44;45;53;48;27;456
"411380 LUPIONOPOLIS";1;2;2;4;-;8;6;8;26;27;84
"411390 MALLET";1;-;-;-;-;-;-;1;6;-;8
"411400 MAMBORE";1;6;7;8;11;6;11;35;32;1;118
"411410 MANDAGUACU";9;12;8;18;26;29;44;96;120;75;437
"411420 MANDAGUARI";46;38;73;85;111;241;282;303;278;111;1568
"411430 MANDIRITUBA";-;-;-;-;1;1;2;-;1;-;5
"411435 MANFRINOPOLIS";-;-;-;-;1;-;-;-;-;1;2
"411440 MANGUEIRINHA";-;-;-;-;-;-;2;2;10;1;15
"411450 MANOEL RIBAS";2;3;2;19;30;49;55;80;78;60;378
"411460 MARECHAL CANDIDO RONDON";9;13;15;27;39;79;152;319;424;235;1312
"411470 MARIA HELENA";4;-;1;3;-;2;9;16;13;8;56
"411480 MARIALVA";7;14;22;33;43;77;107;152;165;54;674
"411490 MARILANDIA DO SUL";9;7;21;13;26;25;52;92;129;82;456
"411500 MARILENA";1;-;-;-;3;1;8;11;12;8;44
"411510 MARILUZ";281;325;322;240;174;158;140;123;104;49;1916
"411520 MARINGA";147;190;291;413;515;666;864;862;395;107;4450
"411530 MARIOPOLIS";-;-;-;-;2;-;1;1;3;1;8
"411535 MARIPA";7;4;5;8;17;34;70;94;95;15;349
"411540 MARMELEIRO";-;1;2;5;8;6;8;31;30;24;115
"411545 MARQUINHO";1;-;-;-;2;-;-;1;-;-;4
"411550 MARUMBI";3;3;9;6;4;2;9;19;8;13;76
"411560 MATELANDIA";-;2;5;3;3;2;6;22;33;18;94
"411570 MATINHOS";11;20;23;23;49;90;104;96;128;5;549
"411573 MATO RICO";-;-;1;-;-;-;-;6;1;-;8
"411575 MAUA DA SERRA";3;3;13;29;33;24;44;61;80;58;348
"411580 MEDIANEIRA";11;11;10;26;21;28;44;69;148;117;485
"411585 MERCEDES";6;9;3;4;3;12;5;10;14;12;78
"411590 MIRADOR";7;6;6;8;3;16;7;4;8;10;75
"411600 MIRASELVA";-;-;-;1;4;3;5;6;12;7;38
"411605 MISSAL";2;5;4;8;9;10;22;28;39;41;168
"411610 MOREIRA SALES";7;6;9;18;9;17;19;34;35;12;166
"411620 MORRETES";7;16;11;43;46;56;48;42;50;19;338
"411630 MUNHOZ DE MELO";-;-;-;-;-;-;-;3;6;3;12
"411640 NOSSA SENHORA DAS GRACAS";-;-;-;-;1;-;-;1;5;11;18
"411650 NOVA ALIANCA DO IVAI";1;-;-;5;5;2;7;8;6;4;38
"411660 NOVA AMERICA DA COLINA";1;3;6;8;25;33;86;60;62;56;340
"411670 NOVA AURORA";2;3;1;1;6;8;39;58;60;71;249
"411680 NOVA CANTU";-;-;1;5;4;4;3;9;15;11;52
"411690 NOVA ESPERANCA";1;2;1;5;3;13;22;49;37;26;159
"411695 NOVA ESPERANCA DO SUDOESTE";-;-;6;3;3;4;35;55;54;31;191
"411700 NOVA FATIMA";-;-;-;-;-;1;3;4;7;18;33
"411705 NOVA LARANJEIRAS";1;-;1;5;5;6;16;27;17;20;98
"411710 NOVA LONDRINA";1;2;1;3;2;1;6;8;15;5;44
"411720 NOVA OLIMPIA";2;4;1;-;-;4;1;9;4;6;31
"411721 NOVA SANTA BARBARA";1;1;-;1;1;1;1;-;3;8;17
"411722 NOVA SANTA ROSA";1;-;1;3;6;1;8;19;14;5;58
"411725 NOVA PRATA DO IGUACU";2;-;4;2;2;3;11;8;5;1;38
"411727 NOVA TEBAS";47;47;99;84;86;24;15;11;2;2;417
"411729 NOVO ITACOLOMI";-;4;7;6;14;12;24;31;20;4;122
"411730 ORTIGUEIRA";1;7;6;12;33;41;80;158;157;18;513
"411740 OURIZONA";1;1;2;1;2;2;3;-;-;1;13
"411745 OURO VERDE DO OESTE";1;-;-;1;3;5;6;25;18;8;67
"411750 PAICANDU";2;5;7;15;8;40;92;108;46;10;333
"411760 PALMAS";3;-;-;1;1;-;-;1;1;-;7
"411770 PALMEIRA";1;1;2;-;2;-;5;11;10;7;39
"411780 PALMITAL";-;-;1;-;3;2;3;21;21;20;71
"411790 PALOTINA";18;7;20;37;52;64;107;194;173;165;837
"411800 PARAISO DO NORTE";43;30;69;53;45;50;50;63;62;17;482
"411810 PARANACITY";1;1;2;1;1;1;2;19;9;6;43
"411820 PARANAGUA";28;38;24;47;61;112;98;242;109;17;776
"411830 PARANAPOEMA";9;10;4;12;4;9;14;23;14;2;101
"411840 PARANAVAI";176;274;383;379;428;467;404;355;155;36;3057
"411845 PATO BRAGADO";-;-;-;-;-;2;4;8;16;2;32
"411850 PATO BRANCO";2;-;5;5;41;92;160;216;232;203;956
"411870 PAULO FRONTIN";-;-;-;-;-;-;2;1;3;-;6
"411880 PEABIRU";98;113;138;132;127;110;78;77;54;24;951
"411885 PEROBAL";3;1;2;20;15;17;33;45;71;62;269
"411890 PEROLA";1;1;5;2;9;20;25;47;38;30;178
"411900 PEROLA D'OESTE";-;1;-;3;10;8;17;26;34;60;159
"411910 PIEN";-;-;-;-;-;-;1;-;-;-;1
"411915 PINHAIS";4;4;7;18;15;32;45;98;97;12;332
"411920 PINHALAO";-;-;-;-;1;-;1;2;4;3;11
"411925 PINHAL DE SAO BENTO";-;1;-;-;6;3;11;4;14;5;44
"411930 PINHAO";-;1;-;1;2;2;6;3;1;-;16
"411940 PIRAI DO SUL";-;-;-;1;3;2;8;11;6;4;35
"411950 PIRAQUARA";3;3;4;3;6;2;6;29;29;5;90
"411960 PITANGA";2;3;7;11;12;23;42;65;103;53;321
"411965 PITANGUEIRAS";-;-;-;-;3;-;4;8;7;1;23
"411970 PLANALTINA DO PARANA";46;33;77;84;47;79;53;56;42;28;545
"411980 PLANALTO";-;1;11;9;29;36;32;57;72;26;273
"411990 PONTA GROSSA";8;6;17;23;35;62;114;165;307;196;933
"411995 PONTAL DO PARANA";6;11;18;27;51;40;19;42;32;4;250
"412000 PORECATU";-;1;2;1;-;-;3;16;23;16;62
"412010 PORTO AMAZONAS";-;-;-;-;-;-;1;-;-;-;1
"412015 PORTO BARREIRO";-;-;-;1;1;2;2;2;-;-;8
"412020 PORTO RICO";2;3;3;1;3;-;2;2;1;-;17
"412030 PORTO VITORIA";-;-;-;-;-;-;1;2;-;-;3
"412033 PRADO FERREIRA";1;1;-;6;6;11;21;24;22;23;115
"412035 PRANCHITA";-;-;1;2;7;4;11;19;19;31;94
"412040 PRESIDENTE CASTELO BRANCO";-;-;-;1;1;1;1;10;9;7;30
"412050 PRIMEIRO DE MAIO";1;5;9;9;12;29;22;27;59;37;210
"412060 PRUDENTOPOLIS";1;-;-;-;2;3;8;13;34;15;76
"412065 QUARTO CENTENARIO";1;8;35;24;35;35;56;46;96;37;373
"412070 QUATIGUA";-;-;3;-;3;4;12;7;17;11;57
"412080 QUATRO BARRAS";1;2;-;-;-;1;3;6;7;3;23
"412085 QUATRO PONTES";1;2;6;8;10;26;73;58;67;17;268
"412090 QUEDAS DO IGUACU";51;139;326;499;478;510;574;369;142;21;3109
"412100 QUERENCIA DO NORTE";40;54;45;32;33;21;18;23;16;13;295
"412110 QUINTA DO SOL";30;33;72;88;70;109;109;119;160;105;895
"412120 QUITANDINHA";-;-;1;-;1;-;-;-;1;-;3
"412125 RAMILANDIA";-;-;2;-;3;2;8;12;7;11;45
"412130 RANCHO ALEGRE";3;3;2;2;3;4;2;4;5;10;38
"412135 RANCHO ALEGRE D'OESTE";-;-;1;-;-;-;2;7;1;3;14
"412140 REALEZA";13;20;35;82;74;97;159;187;59;1;727
"412150 REBOUCAS";-;-;-;-;-;-;-;6;3;1;10
"412160 RENASCENCA";-;1;-;-;-;1;1;1;6;4;14
"412170 RESERVA";-;-;-;1;1;4;4;21;31;23;85
"412175 RESERVA DO IGUACU";-;-;-;-;-;2;1;1;2;3;9
"412180 RIBEIRAO CLARO";1;2;3;4;1;5;7;19;25;9;76
"412190 RIBEIRAO DO PINHAL";2;9;11;19;37;38;84;112;53;46;411
"412200 RIO AZUL";-;-;-;-;-;-;-;1;1;-;2
"412210 RIO BOM";-;2;-;5;7;7;14;9;7;10;61
"412215 RIO BONITO DO IGUACU";2;-;4;2;7;11;17;39;47;17;146
"412217 RIO BRANCO DO IVAI";-;-;7;15;20;37;45;63;50;21;258
"412220 RIO BRANCO DO SUL";-;-;1;-;-;2;-;3;3;-;9
"412230 RIO NEGRO";1;1;-;-;5;2;4;5;8;1;27
"412240 ROLANDIA";22;56;64;67;76;181;370;556;673;542;2607
"412250 RONCADOR";3;6;10;47;44;81;184;190;256;121;942
"412260 RONDON";4;10;14;5;3;6;5;4;9;3;63
"412265 ROSARIO DO IVAI";-;-;-;1;1;1;2;2;6;-;13
"412270 SABAUDIA";1;2;2;1;2;2;10;14;7;7;48
"412280 SALGADO FILHO";-;-;-;-;-;1;1;1;3;10;16
"412290 SALTO DO ITARARE";-;-;-;1;-;3;1;3;5;4;17
"412300 SALTO DO LONTRA";12;10;37;67;47;106;173;80;23;14;569
"412310 SANTA AMELIA";44;16;16;17;23;38;19;7;10;8;198
"412320 SANTA CECILIA DO PAVAO";-;-;1;-;-;1;1;4;9;16;32
"412330 SANTA CRUZ DE MONTE CASTELO";2;1;-;1;1;1;5;7;3;9;30
"412340 SANTA FE";-;1;-;-;1;6;10;11;10;4;43
"412350 SANTA HELENA";-;6;4;6;20;14;33;68;72;60;283
"412360 SANTA INES";-;-;-;-;1;5;-;-;-;1;7
"412370 SANTA ISABEL DO IVAI";1;2;3;4;8;8;10;22;35;27;120
"412380 SANTA IZABEL DO OESTE";106;91;130;172;134;138;97;106;104;40;1118
"412382 SANTA LUCIA";8;18;26;47;77;63;74;91;90;47;541
"412385 SANTA MARIA DO OESTE";1;1;-;-;2;3;6;7;13;10;43
"412390 SANTA MARIANA";1;1;1;-;2;8;4;19;17;3;56
"412395 SANTA MONICA";-;-;1;2;1;-;-;-;1;-;5
"412400 SANTANA DO ITARARE";-;-;-;-;-;-;1;3;4;-;8
"412402 SANTA TEREZA DO OESTE";7;10;35;27;75;144;195;235;159;120;1007
"412405 SANTA TEREZINHA DE ITAIPU";1;1;1;2;6;9;14;39;77;97;247
"412410 SANTO ANTONIO DA PLATINA";17;31;40;50;78;85;148;181;103;9;742
"412420 SANTO ANTONIO DO CAIUA";-;2;-;1;-;1;5;8;5;2;24
"412430 SANTO ANTONIO DO PARAISO";-;-;-;-;-;-;3;-;8;6;17
"412440 SANTO ANTONIO DO SUDOESTE";1;4;11;21;39;49;106;141;205;113;690
"412450 SANTO INACIO";-;-;-;1;3;3;4;7;9;3;30
"412460 SAO CARLOS DO IVAI";4;1;10;24;9;12;28;33;15;-;136
"412470 SAO JERONIMO DA SERRA";2;2;1;2;5;5;9;4;8;8;46
"412480 SAO JOAO";-;-;-;-;-;4;17;33;73;37;164
"412490 SAO JOAO DO CAIUA";1;8;7;9;9;14;17;38;40;33;176
"412500 SAO JOAO DO IVAI";34;48;59;60;62;116;122;107;103;54;765
"412510 SAO JOAO DO TRIUNFO";-;-;-;1;-;-;-;1;4;3;9
"412520 SAO JORGE D'OESTE";-;1;1;3;5;11;16;37;52;34;160
"412530 SAO JORGE DO IVAI";-;-;1;1;5;3;9;9;7;9;44
"412535 SAO JORGE DO PATROCINIO";-;1;1;-;4;3;8;11;8;3;39
"412540 SAO JOSE DA BOA VISTA";1;-;-;-;-;2;-;-;3;-;6
"412545 SAO JOSE DAS PALMEIRAS";1;-;-;1;4;3;6;4;7;11;37
"412550 SAO JOSE DOS PINHAIS";14;16;7;9;14;20;21;22;10;2;135
"412555 SAO MANOEL DO PARANA";1;-;1;-;-;1;2;1;8;1;15
"412560 SAO MATEUS DO SUL";-;-;1;1;-;-;2;10;17;14;45
"412570 SAO MIGUEL DO IGUACU";6;3;4;15;15;22;22;43;59;24;213
"412575 SAO PEDRO DO IGUACU";-;-;3;1;9;6;7;23;18;6;73
"412580 SAO PEDRO DO IVAI";10;9;9;14;23;34;41;45;55;40;280
"412590 SAO PEDRO DO PARANA";3;8;2;2;1;4;4;2;3;-;29
"412600 SAO SEBASTIAO DA AMOREIRA";-;3;-;1;4;14;12;21;45;37;137
"412610 SAO TOME";3;1;3;1;1;1;2;1;-;-;13
"412620 SAPOPEMA";1;1;-;-;1;2;-;3;-;8;16
"412625 SARANDI";13;36;52;62;82;124;172;153;99;25;818
"412627 SAUDADE DO IGUACU";-;-;1;1;5;3;3;27;34;12;86
"412630 SENGES";-;-;1;2;3;11;14;60;80;63;234
"412635 SERRANOPOLIS DO IGUACU";2;4;-;2;4;1;6;3;6;8;36
"412640 SERTANEJA";1;3;-;-;1;4;2;17;32;25;85
"412650 SERTANOPOLIS";3;3;7;6;12;15;32;78;83;29;268
"412660 SIQUEIRA CAMPOS";9;16;22;42;46;31;92;92;83;40;473
"412665 SULINA";-;-;-;-;1;-;-;3;5;-;9
"412667 TAMARANA";2;8;7;10;19;25;59;90;89;32;341
"412670 TAMBOARA";8;19;44;24;25;13;8;18;12;14;185
"412680 TAPEJARA";38;25;10;6;3;3;2;-;1;-;88
"412690 TAPIRA";1;-;5;7;5;5;5;14;22;17;81
"412700 TEIXEIRA SOARES";-;-;-;-;-;-;-;1;8;7;16
"412710 TELEMACO BORBA";2;9;7;10;16;25;60;106;134;80;449
"412720 TERRA BOA";1;-;-;3;3;1;8;13;20;-;49
"412730 TERRA RICA";3;7;14;23;28;32;34;39;52;9;241
"412740 TERRA ROXA";59;93;107;118;82;108;159;111;98;70;1005
